  PID TTY          TIME CMD
 1712 ?        00:00:00 indicator-messa
 1713 ?        00:00:00 indicator-bluet
 1715 ?        00:00:00 indicator-power
 1724 ?        00:00:00 indicator-datet
 1725 ?        00:00:00 indicator-keybo
 1726 ?        00:00:00 indicator-sound
 1727 ?        00:00:00 indicator-print
 1730 ?        00:00:00 indicator-sessi
 1761 ?        00:00:00 evolution-sourc
 1762 ?        00:00:00 pulseaudio
 1763 ?        00:00:00 indicator-appli
 1788 ?        00:00:00 dconf-service
 1823 ?        00:00:00 evolution-calen
 1830 ?        00:00:00 evolution-calen
 1840 ?        00:00:00 evolution-addre
 1842 ?        00:00:00 evolution-calen
 1849 ?        00:00:00 evolution-addre
 1869 ?        00:00:31 compiz
 1878 ?        00:00:00 gvfs-udisks2-vo
 1881 ?        00:00:00 udisksd
 1890 ?        00:00:00 gvfs-afc-volume
 1896 ?        00:00:00 gvfs-mtp-volume
 1901 ?        00:00:00 gvfs-goa-volume
 1906 ?        00:00:00 gvfs-gphoto2-vo
 1916 ?        00:00:02 nautilus
 1934 ?        00:00:00 gvfsd-trash
 1955 ?        00:00:00 unity-fallback-
 1964 ?        00:00:00 nm-applet
 1965 ?        00:00:02 gnome-software
 1966 ?        00:00:00 polkit-gnome-au
 1994 ?        00:00:00 fwupd
 2038 ?        00:00:00 notify-osd
 2051 ?        00:00:00 uuidd
 2076 ?        00:00:04 gnome-terminal-
 2082 pts/18   00:00:00 bash
 2107 ?        00:00:00 sh
 2115 ?        00:00:00 zeitgeist-daemo
 2122 ?        00:00:00 zeitgeist-fts
 2124 ?        00:00:00 zeitgeist-datah
 2177 ?        00:00:00 dnsmasq
 2326 ?        00:00:00 update-notifier
 3099 ?        00:00:00 gconfd-2
 3295 ?        00:00:00 deja-dup-monito
 3855 ?        00:00:27 dropbox
 4246 ?        00:00:00 cups-browsed
 4869 ?        00:00:00 kworker/1:0
 4911 ?        00:00:00 dhclient
 5075 pts/18   00:00:00 bash
 5145 ?        00:00:00 kworker/5:0
 6581 ?        00:00:00 kworker/6:4
 6604 pts/18   00:00:00 a.out
 6934 ?        00:00:00 kworker/2:5
 7244 ?        00:00:00 kworker/7:3
 8025 ?        00:00:00 kworker/4:6
 8041 ?        00:00:11 chrome
 8048 ?        00:00:00 cat
 8049 ?        00:00:00 cat
 8052 ?        00:00:00 chrome
 8053 ?        00:00:00 nacl_helper
 8056 ?        00:00:00 chrome
 8114 ?        00:00:04 chrome
 8138 ?        00:00:00 chrome
 8209 ?        00:00:04 chrome
 8220 ?        00:00:00 chrome
 8637 ?        00:00:00 kworker/3:0
 8864 ?        00:00:00 kworker/u16:0
 8885 ?        00:00:00 kworker/6:0
 9053 ?        00:00:00 kworker/2:0
 9431 ?        00:00:00 kworker/4:1
 9634 ?        00:00:03 chrome
 9743 ?        00:00:00 kworker/0:0
 9774 ?        00:00:00 kworker/u16:1
 9943 ?        00:00:01 chrome
13713 ?        00:00:00 kworker/7:1
